[P_CODE_MAT]	[P_LENGTH]	[P_WIDTH]	[P_MINQ]	[P_GRAIN]	[P_IDESC]	[P_EDGE_MAT_UP]	[P_EGDE_MAT_LO]	[P_EDGE_MAT_SX]	[P_EDGE_MAT_DX]	[P_IIDESC]	[P_DESC1]
Material	Length	Width	Min Q.	GrainI	Description	Upper strip mat.	Lower strip mat.	Left strip mat.	Right strip mat.	II Description	Description 1
18MM 210*280	100	884	1	3-Material	ACDD6-31-2KPK-Dikey Kayit 1			1	1	13131602	
18MM 210*280	884	100	1	3-Material	ACDD6-31-2KPK-Yatay Kayit 1	1	1			13131604	
18MM 210*280	884	544	1	3-Material	ACDD6-31-2KPK-Raf 1	1					
18MM 210*280	720	330	1	3-Material	ACDD6 (2 Kapaklı)-32-2 Kapakli-Sol Yan	1			1	13132614	
18MM 210*280	720	330	1	3-Material	ACDD6 (2 Kapaklı)-32-2 Kapakli-Sag Yan	1			1	13132615	
18MM 210*280	874	330	1	3-Material	ACDD6 (2 Kapaklı)-32-2 Kapakli-Ust Tabla	1					
18MM 210*280	874	330	1	3-Material	ACDD6 (2 Kapaklı)-32-2 Kapakli-Alt Tabla	1					
18MM 210*280	874	315	1	3-Material	ACDD6 (2 Kapaklı)-32-2 Kapakli-Raf 1	1					
18MM 210*280	2100	280	1	3-Material	ACDD6-33--Sol Yan	1		1	1	13133630	
18MM 210*280	2100	280	1	3-Material	ACDD6-33--Sag Yan	1		1	1		
18MM 210*280	664	100	1	3-Material	ACDD6-33--Ust Tabla	1		1	1		
18MM 210*280	664	280	1	3-Material	ACDD6-33--Alt Tabla	1					
18MM 210*280	664	280	1	3-Material	ACDD6-33--Yatay Bolme 1	1					
18MM 210*280	664	270	1	3-Material	ACDD6-33--Raf 1	1					
18MM 210*280	2220	650	1	3-Material	ACDD7-34-buzdolap-Sol Yan	1					
18MM 210*280	300	550	1	3-Material	ACDD7-34-buzdolap-Dikey Bolme 1	1			1	13134652	
18MM 210*280	300	550	1	3-Material	ACDD7-34-buzdolap-Dikey Bolme 2	1			1	13134653	
18MM 210*280	728	550	1	3-Material	ACDD7-34-buzdolap-Yatay Bolme 1	1				13134656	
18MM 210*280	728	550	1	3-Material	ACDD7-34-buzdolap-Yatay Bolme 2	1				13134657	
18MM 210*280	722	580	1	3-Material	ACDD7-35-Evye-Sol Yan	1				13135664	
18MM 210*280	722	580	1	3-Material	ACDD7-35-Evye-Sag Yan	1				13135665	
18MM 210*280	580	495	1	3-Material	ACDD7-35-Evye-Alt Tabla	1		1	1	13135667	
18MM 210*280	100	544	1	3-Material	ACDD7-35-Evye-Dikey Kayit 1			1			
18MM 210*280	100	544	1	3-Material	ACDD7-35-Evye-Dikey Kayit 2			1			
18MM 210*280	80	544	1	3-Material	ACDD7-35-Evye-Dikey Kayit 3				1		
18MM 210*280	722	580	1	3-Material	ACDD7-36-3.CKM-Sol Yan	1	1		1	13136678	
18MM 210*280	722	580	1	3-Material	ACDD7-36-3.CKM-Sag Yan	1	1		1	13136679	
18MM 210*280	580	580	1	3-Material	ACDD7-36-3.CKM-Alt Tabla	1	1	1	1	13136681	
18MM 210*280	544	100	1	3-Material	ACDD7-36-3.CKM-Yatay Bolme 1	1	1				
18MM 210*280	100	544	1	3-Material	ACDD7-36-3.CKM-Dikey Kayit 1			1	1		
